Metric,Human Average,Generated Average
Average Word Count,6652.64,1124.48
Average Character Count,36146.08,6561.16
Average Words per Sentence,16.569662065213894,16.9707621555773
Average Unnecessary Words,0.5243892291091572,0.3516560669515873
VERB,14.937866689319263,14.338648835720539
NOUN,17.985471038414918,24.251310644180222
ADJ,6.314281278463013,6.541568070090141
ADV,5.862818470124535,3.935559807859881
PUNCT,19.204993611296228,16.13038556079445
DET,10.140776564632276,12.419823855421019
PROPN,3.8689695104512527,4.654762249933885
ADP,11.134404252624451,12.306387756100971
SPACE,4.95720676639199,1.7571838543083096
SCONJ,2.5896512943824326,1.6312575767449704
PRON,14.456726627280311,10.494225417257812
CCONJ,4.6743478348978815,3.789354527070025
AUX,6.208319100015635,3.8902564346782516
NUM,0.8013325466497682,0.3122686438083977
PART,2.8294834366346286,2.9998230583321868
